# X Y Ux Uy Magnitude
401.242 613.06 0.404927 -0.214586 0.458272
404.592 606.498 0.407963 -0.212706 0.460084
408.585 600.306 0.411551 -0.211038 0.462505
413.18 594.547 0.415694 -0.209577 0.465537
418.33 589.279 0.420371 -0.208323 0.469159
423.985 584.556 0.425543 -0.207216 0.473313
430.086 580.426 0.431159 -0.206197 0.477929
436.571 576.93 0.43717 -0.205214 0.482939
443.375 574.104 0.443522 -0.204221 0.48828
450.429 571.977 0.45016 -0.203186 0.493892
457.661 570.57 0.457033 -0.202112 0.499728
464.997 569.897 0.464075 -0.201049 0.505753
472.365 569.966 0.471159 -0.200111 0.511894
479.688 570.775 0.478205 -0.199419 0.518119
486.892 572.317 0.485101 -0.199103 0.52437
493.905 574.575 0.491739 -0.199211 0.530559
500.655 577.527 0.498055 -0.199763 0.536623
507.074 581.143 0.504029 -0.20075 0.542536
513.097 585.387 0.509678 -0.202153 0.548304
518.662 590.214 0.515008 -0.20394 0.553917
523.714 595.577 0.519991 -0.206032 0.559321
528.201 601.421 0.524578 -0.208394 0.564456
532.077 607.686 0.528712 -0.210954 0.569243
535.304 614.309 0.53235 -0.21365 0.573622
537.848 621.223 0.53548 -0.216426 0.577563
539.684 628.358 0.538124 -0.219238 0.58107
540.793 635.642 0.540292 -0.222092 0.584158
541.16 643.751 0.542404 -0.22531 0.587339
541.149 644.502 0.542623 -0.225595 0.58765
541.13 645.252 0.54285 -0.225876 0.587968
541.103 646.003 0.543086 -0.226154 0.588292
541.068 646.753 0.543331 -0.226428 0.588624
541.026 647.502 0.543586 -0.226699 0.588964
540.975 648.251 0.543853 -0.226964 0.589312
857.779 649 0.859561 -0.255914 0.896848
847.557 649 0.851 -0.254618 0.888274
837.336 649 0.842355 -0.252723 0.879449
827.115 649 0.833449 -0.250159 0.870182
816.893 649 0.82416 -0.247055 0.860393
806.672 649 0.814374 -0.243611 0.85003
796.451 649 0.804109 -0.240122 0.839195
786.229 649 0.793463 -0.236875 0.828066
776.008 649 0.782695 -0.234145 0.816967
765.787 649 0.771988 -0.231999 0.806095
